record_id,title,journal,author,doi_for_requesting,original_paper_date
29427,Deep learning analysis of human behaviour recognition based on convolutional neural network analysis,Behaviour & Information Technology,Fuguang Yao,10.1080/0144929X.2020.1716390,2020-03-27T00:00:00Z
29030,Twenty-first birthday drinking: Extreme drinking episodes and white matter microstructural changes in the fornix and corpus callosum,Experimental and Clinical Psychopharmacology,Cassandra L Boness;Ozlem Korucuoglu;Jarrod M Ellingson;Anne M Merrill;Yoanna E McDowell;Constantine J Trela;Kenneth J Sher;Thomas M Piasecki;John G Kerns,10.1037/pha0000466,2020-10-01T00:00:00Z
27702,Determinants of self-reported adherence to inhaler therapy in patients with chronic obstructive pulmonary disease,Multidisciplinary Respiratory Medicine,Ilaria Aredano;Francesca de Blasio;Paola Berchialla;Luisa Brussino;Caterina Bucca;Paolo Sildoro,10.4081/mrm.2020.721,2020-05-05T00:00:00Z
23368,Health systems strengthening to optimise scale-up in global mental health in low- and middle-income countries: lessons from the frontlines,Epidemiology and Psychiatric Sciences,Inge Petersen;Andre van Rensburg;S Gigaba;Z P B Luvuno;L Fairall,10.1017/S2045796020000141,2020-02-07T00:00:00Z
22417,Prediction of cancer and coronary heart disease as a function of method of questionnaire administration,Psychological Reports,Ronald Grossarth-Maticek;Hans J Eysenck;Paul Barrett,10.1177/00332941930733pt101,1993-12-01T00:00:00Z
19633,An intentional basis for corporate personality,International Journal of Law in Context,Anthony Amatrudo,10.1017/S174455231200274,2012-09-01T00:00:00Z
22256,"Comparative study of psychological health status, emotions and cognitive transformation of children held in foster centers associated with Yazd provinceâ€™s welfare organization with those of the ordinary children",Journal of Fundamental and Applied Sciences,V Alinia;M Fesahat,10.4314/jfas.v10i6s.172,2018-05-01T00:00:00Z
22040,Knowledge-based expert system for predictive classification of main specific learning disabilities,Journal of Fundamental and Applied Sciences,R M Rasli;N A A Aziz;S A Salim;F M Razali;N M Norwawi;N Basir,10.4314/jfas.v10i6s.12,2018-03-07T00:00:00Z
21986,"Relationship between anxiety, stress and depression with spiritual health in patients with acute vascular syndrome coronary",Journal of Fundamental and Applied Sciences,M Rahmanian;F Honarmand;S Moghaddam;M Zeinijahromi,10.4314/jfas.v10i6s.61,2018-03-07T00:00:00Z
21865,The dynamic maturative model for attachment,Acta Medica Mediterranea,Agata Maltese;Beatrice Gallai;Palmira Romano;Lucrezia Dâ€™Oro;Rosa Marotta;Francesco Lavano;Serena Marianna Lavano;Gabriele Tripi;Margherita Salerno,10.19193/0393-6384_2017_2s_195,2017-07-01T00:00:00Z
