record_id,title,journal,author,old_doi,retraction_doi,original_paper_doi,doi_for_requesting,...7
29030,Twenty-first birthday drinking: Extreme drinking episodes and white matter microstructural changes in the fornix and corpus callosum,Experimental and Clinical Psychopharmacology,Cassandra L Boness;Ozlem Korucuoglu;Jarrod M Ellingson;Anne M Merrill;Yoanna E McDowell;Constantine J Trela;Kenneth J Sher;Thomas M Piasecki;John G Kerns,10.1037/pha0000466,10.1037/pha0000466,10.1037/pha0000466,https://api.openalex.org/works/filter=id.doi:10.1037/pha0000336,NA
27702,Determinants of self-reported adherence to inhaler therapy in patients with chronic obstructive pulmonary disease,Multidisciplinary Respiratory Medicine,Ilaria Aredano;Francesca de Blasio;Paola Berchialla;Luisa Brussino;Caterina Bucca;Paolo Sildoro,10.4081/mrm.2020.721,10.4081/mrm.2020.654,10.4081/mrm.2020.721,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.4081/mrm.2020.654,NA
23278,Association Between Particulate Matter Air Pollution and Risk of Depression and Suicide: Systematic Review and Meta-Analysis,British Journal of Psychiatry,Xuelin Gu;Qisijing Liu;Furong Deng;Xueqin Wang;Hualiang Lin;Xinbiao Guo;Shaowei Wu,10.1192/bjp.2018.295,10.1192/bjp.2020.87,10.1192/bjp.2018.295,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.1192/bjp.2020.87,NA
23368,Health systems strengthening to optimise scale-up in global mental health in low- and middle-income countries: lessons from the frontlines,Epidemiology and Psychiatric Sciences,Inge Petersen;Andre van Rensburg;S Gigaba;Z P B Luvuno;L Fairall,10.1017/S2045796020000141,10.1017/S2045796020000311,10.1017/S2045796020000141,NA,NA
22417,Prediction of cancer and coronary heart disease as a function of method of questionnaire administration,Psychological Reports,Ronald Grossarth-Maticek;Hans J Eysenck;Paul Barrett,10.1177/00332941930733pt101,10.1177/0033294120901992,10.1177/00332941930733pt101,https://api.openalex.org/works/filter=id.doi:https://doi.org/10.2466/pr0.1993.73.3.943,NA
20531,Content validity and psychometric evaluation of functional assessment of chronic illness therapy-fatigue in patients with psoriatic arthritis,Journal of Patient-Reported Outcomes,David Cella;Hilary Wilson;Huda Shalhoub;Dennis A Revicki;Joseph C Cappelleri;Andrew G Bushmakin;Elizabeth Kudlacz;Ming Ann Hsu,10.1186/s41687-019-0094-5,10.1186/s41687-019-0125-2,10.1186/s41687-019-0094-5,NA,NA
19633,An intentional basis for corporate personality,International Journal of Law in Context,Anthony Amatrudo,10.1017/S174455231200274,10.1017/S1744552318000320,10.1017/S174455231200274,NA,NA
22256,"Comparative study of psychological health status, emotions and cognitive transformation of children held in foster centers associated with Yazd provinceâ€™s welfare organization with those of the ordinary children",Journal of Fundamental and Applied Sciences,V Alinia;M Fesahat,10.4314/jfas.v10i6s.172,unavailable,10.4314/jfas.v10i6s.172,NA,NA
22040,Knowledge-based expert system for predictive classification of main specific learning disabilities,Journal of Fundamental and Applied Sciences,R M Rasli;N A A Aziz;S A Salim;F M Razali;N M Norwawi;N Basir,10.4314/jfas.v10i6s.12,unavailable,10.4314/jfas.v10i6s.12,NA,NA
21986,"Relationship between anxiety, stress and depression with spiritual health in patients with acute vascular syndrome coronary",Journal of Fundamental and Applied Sciences,M Rahmanian;F Honarmand;S Moghaddam;M Zeinijahromi,10.4314/jfas.v10i6s.61,unavailable,10.4314/jfas.v10i6s.61,NA,NA
