openalexid,title,original_paper_date,original_paper_doi,retraction_date,retraction_doi,reason
https://openalex.org/W3158862494,Independent and combined associations of intimate partner violence and food insecurity on maternal depression and generalized anxiety disorder,2021-04-27T00:00:00Z,10.1016/j.janxdis.2021.102409,2021-06-08T00:00:00Z,10.1016/j.janxdis.2021.102431,+Error in Methods;+Error in Results and/or Conclusions;
https://openalex.org/W2160894098,The seventh penis: towards effective psychoanalytic work with pre-surgical transsexuals,2015-06-01T00:00:00Z,10.1111/1468-5922.12157,2021-05-26T00:00:00Z,10.1111/1468-5922.12669,+Lack of Approval from Author;
https://openalex.org/W2990150467,Sentiment topic emotion model on students feedback for educational benefits and practices,2019-11-25T00:00:00Z,10.1080/0144929X.2019.1687756,2021-05-21T00:00:00Z,10.1080/0144929X.2021.1932373,+Fake Peer Review;+Rogue Editor;
https://openalex.org/W3122136750,"COVID-19, Suicide, and Femicide: rapid research using Google Search Phrases",2021-01-22T00:00:00Z,10.1080/00221309.2021.1874863,2021-05-19T00:00:00Z,10.1080/00221309.2021.1932122,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;
https://openalex.org/W3162495533,Model construction and empirical study on mobile commerce user satisfaction,2020-06-20T00:00:00Z,10.1007/s12144-020-00877-z,2021-05-10T00:00:00Z,10.1007/s12144-021-01814-4,+Author Unresponsive;+Fake Peer Review;+Rogue Editor;
https://openalex.org/W2069205277,"Personality, Stress, Smoking, and Genetic Predisposition as Synergistic Risk Factors for Cancer and Coronary Heart Disease",1991-10-01T00:00:00Z,10.1007/BF02691067,2021-04-13T00:00:00Z,10.1007/s12124-021-09602-2,+Concerns/Issues About Data;+Concerns/Issues About Results;+Investigation by Journal/Publisher;+Unreliable Results;
https://openalex.org/W3139288924,Anomalous/paranormal experiences reported by nurses in relation to their patients in hospitals,2017-03-17T00:00:00Z,unavailable,2021-03-08T00:00:00Z,10.31275/20212063,+Plagiarism of Article;
https://openalex.org/W2919139348,The Reliability and Validity of the Malay Parent-Report Version of the Strengths and Difficulties Questionnaire,2019-02-28T00:00:00Z,10.21315/mjms2019.26.1.12,2021-02-24T00:00:00Z,10.21315/mjms2021.28.1.18,+Copyright Claims;+Lack of Approval from Third Party;
https://openalex.org/W2785319624,The Problem of Stereotype in the Structure of the Child's Imaging Activity,2017-11-01T00:00:00Z,10.23670/IRJ.2017.65.053,2021-02-02T00:00:00Z,Unavailable,+Euphemisms for Plagiarism;+Plagiarism of Text;+Withdrawal;
https://openalex.org/W2082092038,"School social bonds, school climate, and school misbehavior: A multilevel analysis",2006-08-19T00:00:00Z,10.1080/07418820300095621,2021-01-21T00:00:00Z,10.1080/07418820300095621,+Concerns/Issues About Data;+Error in Analyses;+Error in Data;+Investigation by Journal/Publisher;+Unreliable Results;
https://openalex.org/W2936587335,Effects of cartoon violence on aggressive thoughts and aggressive behaviors,2019-04-08T00:00:00Z,10.1002/ab.21836,2021-01-09T00:00:00Z,10.1002/ab.21946,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Text;
https://openalex.org/W3098671446,The association between early career informal mentorship in academic collaborations and junior author performance,2020-11-17T00:00:00Z,10.1038/s41467-020-19723-8,2020-12-21T00:00:00Z,10.1038/s41467-020-20617-y,+Concerns/Issues About Data;+Concerns/Issues About Results;+Error in Analyses;+Error in Methods;
https://openalex.org/W2965037193,Psychometric properties of the self-report version of the strengths and difficulties questionnaire in the Ecuadorian context: an evaluation of four models,2019-08-06T00:00:00Z,10.1186/s40359-019-0328-6,2020-12-18T00:00:00Z,10.1186/s40359-020-00487-1,+Copyright Claims;
https://openalex.org/W2006320768,Coffee-Drinking and Personality as Factors in the Genesis of Cancer and Coronary Heart Disease,1990-03-01T00:00:00Z,10.1159/000119443,2020-12-17T00:00:00Z,10.1159/000512536,+Concerns/Issues About Data;+Concerns/Issues About Results;+Bias Issues or Lack of Balance;
