id,title,publication_date,doi_for_requesting,record_id,title2
https://openalex.org/W3158862494,RETRACTED: Independent and combined associations of intimate partner violence and food insecurity on maternal depression and generalized anxiety disorder.,2021-06-01,https://doi.org/10.1016/j.janxdis.2021.102409,29982,Independent and combined associations of intimate partner violence and food insecurity on maternal depression and generalized anxiety disorder
https://openalex.org/W2160894098,The seventh penis: towards effective psychoanalytic work with pre-surgical transsexuals.,2015-06-01,https://doi.org/10.1111/1468-5922.12157,29038,The seventh penis: towards effective psychoanalytic work with pre-surgical transsexuals
https://openalex.org/W2990150467,RETRACTED ARTICLE: Sentiment topic emotion model on students feedback for educational benefits and practices,2021-02-17,https://doi.org/10.1080/0144929x.2019.1687756,NA,NA
https://openalex.org/W3122136750,"COVID-19, suicide, and femicide: Rapid Research using Google search phrases.",2021-01-22,https://doi.org/10.1080/00221309.2021.1874863,28711,"COVID-19, Suicide, and Femicide: rapid research using Google Search Phrases"
https://openalex.org/W3162495533,RETRACTED ARTICLE: Model construction and empirical study on mobile commerce user satisfaction,2021-05-10,https://doi.org/10.1007/s12144-020-00877-z,29632,Model construction and empirical study on mobile commerce user satisfaction
https://openalex.org/W2069205277,"Personality, stress, smoking, and genetic predisposition as synergistic risk factors for cancer and coronary heart disease.",1991-10-01,https://doi.org/10.1007/bf02691067,NA,NA
https://openalex.org/W3139288924,"Retraction of: Parra, A., & Giménez Amarilla, P. (2017). Anomalous/paranormal experiences reported by nurses in relation to their patients in hospitals. Journal of Scientific Exploration, 31(1), 11–28.",2021-03-08,https://doi.org/10.31275/20212063,26938,Anomalous/paranormal experiences reported by nurses in relation to their patients in hospitals
https://openalex.org/W2919139348,The Reliability and Validity of the Malay Parent-Report Version of the Strengths and Difficulties Questionnaire.,2019-01-01,https://doi.org/10.21315/mjms2019.26.1.12,26445,The Reliability and Validity of the Malay Parent-Report Version of the Strengths and Difficulties Questionnaire
https://openalex.org/W2785319624,статья изъята: ПРОБЛЕМА СТЕРЕОТИПНОСТИ В СТРУКТУРЕ ИЗОБРАЗИТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ РЕБЕНКА,2017-11-18,https://doi.org/10.23670/irj.2017.65.053,NA,NA
https://openalex.org/W2082092038,"School social bonds, school climate, and school misbehavior: A multilevel analysis",2003-09-01,https://doi.org/10.1080/07418820300095621,25085,"School social bonds, school climate, and school misbehavior: A multilevel analysis"
https://openalex.org/W2936587335,Effects of cartoon violence on aggressive thoughts and aggressive behaviors.,2019-09-01,https://doi.org/10.1002/ab.21836,25782,Effects of cartoon violence on aggressive thoughts and aggressive behaviors
https://openalex.org/W3098671446,The association between early career informal mentorship in academic collaborations and junior author performance.,2020-11-17,https://doi.org/10.1038/s41467-020-19723-8,24872,The association between early career informal mentorship in academic collaborations and junior author performance
https://openalex.org/W2965037193,Psychometric properties of the self-report version of the strengths and difficulties questionnaire in the Ecuadorian context: an evaluation of four models,2019-08-06,https://doi.org/10.1186/s40359-019-0328-6,24876,Psychometric properties of the self-report version of the strengths and difficulties questionnaire in the Ecuadorian context: an evaluation of four models
https://openalex.org/W2006320768,Coffee-drinking and personality as factors in the genesis of cancer and coronary heart disease.,1990-07-01,https://doi.org/10.1159/000119443,24938,Coffee-Drinking and Personality as Factors in the Genesis of Cancer and Coronary Heart Disease
https://openalex.org/W2886242761,When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,2018-08-02,https://doi.org/10.3389/fpsyg.2018.01333,24927,When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health
